// ISPEL: Captura dual tomada 10-7-2024
// ===============================================
// Enviamos configuracion de capturadora, entradas y seniales
MSJ CAPTU CONFIGURADO ESCALA=0.002500 ORIGEN=E1 PROM=16
MSJ CAPTU E1 CONFIGURADA ENCENDIDA=SI ESCALA=3.300 NIVEL=1.000 FLANCO=SUBIDA
MSJ CAPTU E2 CONFIGURADA ENCENDIDA=SI ESCALA=3.300 NIVEL=2.000 FLANCO=SUBIDA
MSJ CapturasSincronizadas=16 TiempoCaptura=132 FM=2400000 LARGO=6000 DISPARO=1500
DATOS E1 E2 {
4063	3822
4073	3824
4067	3825
4065	3822
4065	3824
4067	3826
4066	3824
4066	3823
4065	3827
4065	3821
4065	3822
4065	3824
4069	3826
4067	3823
4070	3827
4069	3823
4065	3821
4065	3820
4066	3822
4067	3824
4067	3824
4068	3824
4069	3824
4066	3822
4065	3824
4070	3827
4070	3825
4065	3821
4066	3824
4064	3821
4068	3823
4066	3827
4070	3828
4070	3824
4067	3822
4067	3821
4066	3820
4068	3823
4069	3823
4070	3828
4067	3823
4067	3823
4070	3826
4067	3821
4066	3823
4068	3822
4067	3824
4066	3822
4067	3827
4067	3824
4072	3828
4069	3819
4064	3824
4069	3820
4066	3822
4065	3824
4067	3826
4072	3826
4066	3821
4071	3823
4061	3821
4068	3824
4064	3824
4067	3828
4067	3824
4067	3822
4069	3824
4070	3825
4068	3824
4065	3824
4070	3826
4068	3821
4066	3824
4068	3824
4071	3827
4065	3822
4066	3824
4066	3822
4067	3823
4068	3824
4069	3828
4064	3824
4067	3823
4070	3822
4064	3824
4068	3824
4069	3826
4066	3825
4064	3822
4068	3821
4067	3824
4066	3825
4068	3824
4071	3825
4069	3825
4061	3817
4065	3826
4066	3823
4064	3823
4067	3824
4063	3822
4064	3823
4063	3824
4069	3826
4068	3826
4069	3826
4066	3821
4068	3823
4070	3824
4065	3824
4069	3828
4065	3825
4069	3824
4068	3823
4067	3822
4063	3820
4071	3830
4063	3819
4067	3825
4070	3823
4066	3821
4068	3824
4067	3823
4070	3824
4063	3824
4065	3821
4067	3824
4068	3824
4068	3824
4065	3826
4071	3826
4070	3825
4067	3825
4067	3826
4070	3827
4064	3819
4070	3826
4069	3821
4063	3823
4064	3825
4068	3826
4071	3822
4070	3823
4070	3821
4062	3820
4067	3823
4070	3825
4068	3828
4068	3824
4068	3823
4071	3824
4067	3825
4064	3823
4069	3829
4070	3824
4066	3822
4068	3823
4067	3825
4068	3823
4066	3820
4071	3826
4066	3821
4061	3823
4067	3823
4067	3828
4068	3821
4066	3824
4070	3820
4070	3828
4066	3821
4067	3825
4067	3827
4065	3822
4069	3821
4065	3824
4068	3823
4065	3824
4070	3826
4067	3823
4067	3826
4065	3824
4067	3829
4067	3828
4065	3821
4068	3823
4068	3825
4068	3822
4065	3824
4072	3830
4067	3827
4067	3825
4068	3825
4071	3825
4064	3820
4065	3824
4066	3826
4066	3825
4069	3824
4071	3826
4072	3825
4065	3823
4070	3820
4065	3821
4065	3820
4065	3822
4069	3827
4068	3826
4067	3822
4067	3822
4070	3822
4067	3820
4063	3824
4069	3825
4066	3825
4066	3824
4067	3821
4067	3822
4067	3822
4069	3825
4068	3822
4070	3828
4063	3819
4071	3826
4067	3825
4070	3826
4064	3824
4069	3823
4066	3820
4068	3822
4065	3824
4064	3823
4072	3828
4067	3820
4071	3822
4069	3820
4063	3821
4061	3821
4067	3825
4070	3825
4067	3823
4068	3825
4068	3822
4069	3826
4066	3820
4066	3825
4063	3822
4066	3825
4066	3823
4069	3829
